CaliberName,CaliberName_unit,oal,oal_unit,caselen,caselen_unit,casevol,casevol_unit,Dz,Dz_unit,Aeff,Aeff_unit,pMaxZul,pMaxZul_unit,method,method_unit,sebert,sebert_unit,ps,ps_unit,shotshell,shotshell_unit,Ba,k,case_length,z2,z1,a0,Qex,bulk_density,mname,pname,lotid,a1,eta,pc,pcd,pt,tcc,tch,mc,laddercnt,laddermc,imageUuid,imageDetailUuid,propellant,bullet_dia,bullet_weight,Ba_eff
6.5%20Creedmoor,,72.39,mm,48.514,mm,3.405544569646086,cm3,6.7056,mm,34.645092,mm2,4349.971323832528,bar,Piezo CIP,,0.523,,250.0,bar,False,,0.468557,1.2360609,48.9,0.8033,0.4777,1.7895,3860.0,34.66,Alliant,Reloder%2016,2021-08-29,0.0,1.0,1620.0,903.0,6.666666666666666,0.0,0.0,2.721554219989671,1.0,0.0,f9bb0b05269d4a2fe00c2cb9d59de683,cff1f3ad6a68e0b993e3115cec7d9de5,Alliant Reloder%2016,0.264,140.0,0.689902073410025
,,,,,,,,,,,,,,0.688,,,,,,,,,,Benchmark,,,,,,,,,,,,,0.688
,,,,,,,,,,,,,,0.658,,,,,,,,,,N140,,,,,,,,,,,,,0.658
,,,,,,,,,,,,,,0.635,,,,,,,,,,Ramshot TAC,,,,,,,,,,,,,0.635
,,,,,,,,,,,,,,0.621,,,,,,,,,,IMR3031,,,,,,,,,,,,,0.621
,,,,,,,,,,,,,,0.605,,,,,,,,,,AA2495,,,,,,,,,,,,,0.605
,,,,,,,,,,,,,,0.599,,,,,,,,,,Varget,,,,,,,,,,,,,0.599
,,,,,,,,,,,,,,0.586,,,,,,,,,,N150,,,,,,,,,,,,,0.586
,,,,,,,,,,,,,,0.581,,,,,,,,,,H4895,,,,,,,,,,,,,0.581
,,,,,,,,,,,,,,0.578,,,,,,,,,,N540,,,,,,,,,,,,,0.578
,,,,,,,,,,,,,,0.557,,,,,,,,,,IMR4350,,,,,,,,,,,,,0.557
,,,,,,,,,,,,,,0.531,,,,,,,,,,Reloder TS15.5,,,,,,,,,,,,,0.531
,,,,,,,,,,,,,,0.45,,,,,,,,,,H4350,,,,,,,,,,,,,0.45
,,,,,,,,,,,,,,0.440,,,,,,,,,,H4831,,,,,,,,,,,,,0.440
,,,,,,,,,,,,,,0.413,,,,,,,,,,Reloder22,,,,,,,,,,,,,0.413
,,,,,,,,,,,,,,0.371,,,,,,,,,,H1000,,,,,,,,,,,,,0.371
,,,,,,,,,,,,,,0.346,,,,,,,,,,Retumbo,,,,,,,,,,,,,0.346
,,,,,,,,,,,,,,0.321,,,,,,,,,,N565,,,,,,,,,,,,,0.321
,,,,,,,,,,,,,,0.75,,,,,,,,,,N110,,,,,,,,,,,,,0.75
,,,,,,,,,,,,,,0.62,,,,,,,,,,IMR4064,,,,,,,,,,,,,0.62
,,,,,,,,,,,,,,0.586,,,,,,,,,,N555,,,,,,,,,,,,,0.586
,,,,,,,,,,,,,,0.55,,,,,,,,,,N160,,,,,,,,,,,,,0.55
,,,,,,,,,,,,,,0.475,,,,,,,,,,N570,,,,,,,,,,,,,0.475
